Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2019,"36,109",Petrol + CNG,1st,"4,30,599"
Maruti Alto LXI,Ahemdabad,2019,"27,799",Petrol,1st,"3,16,999"
Maruti Vitara Brezza ZDI PLUS DUAL TONE,Ahemdabad,2020,"24,398",Diesel,1st,"9,29,599"
Hyundai NEW SANTRO 1.1 SPORTS AMT,Ahemdabad,2018,"64,669",Petrol,1st,"4,50,999"
Jeep Compass 2.0 LIMITED,Ahemdabad,2019,"60,569",Diesel,1st,"13,35,599"
Maruti Swift Dzire VDI OPT,Ahemdabad,2016,"44,359",Diesel,1st,"5,73,450"
Hyundai Eon ERA PLUS,Ahemdabad,2015,"82,404",Petrol,2nd,"2,46,299"
Maruti Vitara Brezza ZDI,Ahemdabad,2018,"52,306",Diesel,1st,"7,52,999"
Maruti Celerio ZXI,Ahemdabad,2018,"41,022",Petrol,1st,"4,34,199"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2019,"27,346",Petrol + CNG,1st,"4,27,099"
Maruti Vitara Brezza ZDI,Ahemdabad,2018,"37,869",Diesel,1st,"7,60,099"
Maruti Swift Dzire VDI BS IV,Ahemdabad,2015,"73,751",Diesel,1st,"4,72,099"
Honda Brio 1.2 S MT I VTEC,Ahemdabad,2013,"86,009",Petrol + CNG,2nd,"3,14,799"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2018,"43,092",Petrol + CNG,1st,"3,92,099"
Maruti Vitara Brezza ZDI PLUS,Ahemdabad,2017,"62,920",Diesel,1st,"7,21,799"
Maruti Swift VXI,Ahemdabad,2017,"87,233",Petrol,1st,"4,75,699"
Hyundai i10 MAGNA 1.2 KAPPA2,Ahemdabad,2011,"95,082",Petrol,1st,"2,39,499"
Maruti Swift VXI,Ahemdabad,2016,"74,017",Petrol + CNG,1st,"4,59,299"
Maruti S Cross ZETA 1.3,Ahemdabad,2016,"95,502",Diesel,3rd,"5,10,799"
Maruti Swift VDI ABS,Ahemdabad,2015,"92,396",Diesel,2nd,"3,95,299"
Maruti Vitara Brezza VDI,Ahemdabad,2018,"72,413",Diesel,1st,"6,72,599"
Maruti S Cross ZETA 1.3 SHVS,Ahemdabad,2018,"52,120",Diesel,1st,"8,09,199"
Mahindra XUV500 W10,Ahemdabad,2018,"69,977",Diesel,1st,"10,78,799"
Hyundai VENUE 1.0L Turbo GDI SX(O) MT,Ahemdabad,2019,"8,322",Petrol,1st,"9,13,199"
Maruti Vitara Brezza VDI,Ahemdabad,2019,"39,833",Diesel,1st,"7,27,199"
Maruti Baleno SIGMA DDIS 190,Ahemdabad,2015,"90,964",Diesel,1st,"3,74,899"
Hyundai Elite i20 ASTA 1.4 CRDI,Ahemdabad,2018,"55,805",Diesel,1st,"6,84,699"
Mercedes Benz GLA Class 200 CDI STYLE,Ahemdabad,2015,"59,604",Diesel,1st,"16,50,099"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2019,"69,221",Petrol + CNG,1st,"4,44,599"
Hyundai Creta 1.6 SX AT CRDI,Ahemdabad,2018,"58,442",Diesel,1st,"10,85,799"
Maruti Dzire ZDI Plus,Ahemdabad,2017,"77,017",Diesel,1st,"6,15,899"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2017,"1,09,747",Petrol + CNG,1st,"4,22,499"
Jeep Compass 2.0 LIMITED,Ahemdabad,2017,"71,181",Diesel,1st,"11,40,199"
MG HECTOR SHARP 2.0 DIESEL,Ahemdabad,2019,"9,966",Diesel,1st,"15,42,699"
Hyundai Elite i20 ASTA 1.4 CRDI,Ahemdabad,2018,"73,614",Diesel,1st,"6,70,199"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2018,"92,405",Petrol + CNG,1st,"4,01,799"
Maruti Vitara Brezza VDI OPT,Ahemdabad,2017,"79,292",Diesel,1st,"6,71,199"
Maruti Swift ZDI AMT,Ahemdabad,2018,"71,674",Diesel,1st,"5,53,099"
Honda WR-V 1.5 i-DTEC VX MT,Ahemdabad,2019,"62,086",Diesel,1st,"7,59,999"
Maruti S Cross ZETA 1.3,Ahemdabad,2017,"1,05,404",Diesel,1st,"5,70,699"
Ford Ecosport 1.5TITANIUM TDCI,Ahemdabad,2019,"49,191",Diesel,1st,"8,44,399"
Maruti Ciaz VDI+ SHVS,Ahemdabad,2017,"97,565",Diesel,1st,"5,49,099"
Maruti Vitara Brezza VDI,Ahemdabad,2019,"56,894",Diesel,1st,"7,09,199"
Maruti Swift VDI,Ahemdabad,2014,"92,170",Diesel,4th,"3,73,799"
Maruti Vitara Brezza ZDI PLUS,Ahemdabad,2019,"44,530",Diesel,1st,"8,84,499"
Maruti Baleno DELTA 1.2 K12,Ahemdabad,2018,"77,498",Petrol,1st,"5,22,599"
Hyundai i10 SPORTZ 1.2 KAPPA2,Ahemdabad,2011,"1,29,814",Petrol,3rd,"2,37,799"
Maruti Wagon R 1.0 LXI,Ahemdabad,2013,"1,12,304",Petrol,1st,"2,88,999"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2017,"91,917",Petrol + CNG,1st,"4,14,899"
Maruti Swift VXI,Ahemdabad,2013,"1,22,747",Petrol,1st,"3,47,199"
Maruti Wagon R 1.0 LXI,Ahemdabad,2013,"1,34,680",Petrol,1st,"2,23,199"
Hyundai Creta 1.6 CRDI SX PLUS AUTO,Ahemdabad,2015,"1,27,849",Diesel,1st,"7,19,899"
Hyundai Eon ERA PLUS,Ahemdabad,2013,"30,090",Petrol,2nd,"1,98,199"
Renault Kwid RXL,Ahemdabad,2019,"12,016",Petrol,1st,"3,74,799"
Maruti Alto 800 LXI,Ahemdabad,2017,"16,277",Petrol,1st,"2,89,899"
Hyundai i20 MAGNA O 1.2,Ahemdabad,2011,"51,392",Petrol,1st,"2,82,599"
Maruti Alto LXI,Ahemdabad,2020,"4,641",Petrol,1st,"3,67,499"
