,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
245,Honda Brio 1.2 S MT I VTEC,Pune,2013,"55,524",Petrol,1st,"3,06,199"
246,Hyundai i20 ASTA 1.2,Pune,2010,"38,409",Petrol,3rd,"2,39,699"
247,Maruti Alto 800 LXI,Pune,2013,"27,004",Petrol,1st,"2,36,499"
248,KIA SELTOS HTX 1.5 DIESEL,Pune,2020,"2,765",Diesel,1st,"14,94,999"
249,Honda Jazz 1.2 S MT,Pune,2016,"18,091",Petrol,1st,"4,98,399"
250,Hyundai Xcent SX 1.2 OPT,Pune,2014,"9,571",Petrol,1st,"4,38,799"
251,Maruti Alto 800 VXI,Pune,2014,"22,538",Petrol,1st,"2,38,799"
252,Maruti Alto K10 VXI,Pune,2012,"50,611",Petrol,1st,"2,07,899"
253,Hyundai Grand i10 SPORTS 1.2 VTVT,Pune,2014,"42,967",Petrol,2nd,"3,69,099"
254,Maruti Wagon R 1.0 VXI,Pune,2013,"55,753",Petrol,1st,"2,69,999"
255,Nissan Terrano XL P,Pune,2016,"37,910",Petrol,2nd,"4,34,099"
256,Mahindra Kuv100 K6+ D 6 STR,Pune,2016,"10,986",Diesel,1st,"4,21,599"
257,Volkswagen Polo HIGHLINE1.2L PETROL,Pune,2011,"67,721",Petrol,2nd,"2,82,199"
258,Maruti Wagon R 1.0 LXI CNG,Pune,2014,"42,127",Petrol + CNG,1st,"3,05,899"
259,Maruti Swift VXI,Pune,2012,"32,628",Petrol,2nd,"3,65,599"
260,Hyundai i10 MAGNA 1.2 KAPPA2,Pune,2011,"63,784",Petrol,1st,"2,38,199"
261,Maruti Eeco 7 STR,Pune,2010,"49,362",Petrol,1st,"2,11,199"
262,Hyundai i10 SPORTZ 1.1 IRDE2,Pune,2014,"43,814",Petrol,1st,"2,96,699"
263,Maruti Wagon R LXI MINOR,Pune,2009,"47,016",Petrol,1st,"1,91,099"
264,Honda City V MT PETROL,Pune,2012,"44,443",Petrol,1st,"3,86,499"
265,Maruti Alto 800 LXI,Pune,2016,"4,887",Petrol,1st,"2,82,499"
266,Maruti Wagon R 1.0 LXI CNG,Pune,2015,"41,830",Petrol + CNG,1st,"3,76,799"
267,Hyundai i10 SPORTZ 1.2 KAPPA2,Pune,2012,"31,741",Petrol,1st,"2,99,699"
268,Maruti Alto K10 VXI AMT,Pune,2016,"10,523",Petrol,1st,"3,27,499"
269,Maruti Alto LXI,Pune,2009,"24,653",Petrol,1st,"1,57,999"
270,Hyundai i10 SPORTZ 1.2,Pune,2010,"50,705",Petrol,1st,"2,19,999"
271,Hyundai Elite i20 ASTA 1.2,Pune,2014,"33,059",Petrol,1st,"4,94,699"
272,Hyundai i10 SPORTZ 1.2 AT KAPPA2,Pune,2011,"64,382",Petrol,4th,"2,65,699"
273,Honda City SV MT PETROL,Pune,2017,"22,018",Petrol,2nd,"6,52,199"
274,Toyota Etios Liva GD,Pune,2013,"46,910",Diesel,1st,"3,73,999"
275,Maruti Alto K10 VXI,Pune,2015,"7,954",Petrol,1st,"3,05,399"
276,Volkswagen Vento HIGHLINE DIESEL,Pune,2011,"72,199",Diesel,1st,"3,00,099"
277,Maruti XL6 ZETA SHVS,Pune,2020,"1,237",Petrol,1st,"9,82,699"
278,Maruti Swift VXI,Pune,2020,"15,527",Petrol,1st,"6,23,999"
