,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
174,Maruti Zen Estilo VXI,Delhi,2009,"98,519",Petrol,1st,"1,60,199"
175,Maruti Swift VDI ABS,Delhi,2014,"83,368",Diesel,1st,"3,60,399"
176,Maruti Swift Dzire VDI BS IV,Delhi,2015,"75,571",Diesel,2nd,"4,00,499"
177,Maruti Swift VDI,Delhi,2012,"80,904",Diesel,1st,"3,04,799"
178,Maruti Swift VDI,Delhi,2014,"82,346",Diesel,1st,"3,52,399"
179,Maruti Swift Dzire VDI,Delhi,2013,"79,116",Diesel,1st,"3,74,999"
180,Maruti Wagon R LXI MINOR,Delhi,2008,"65,984",Petrol,1st,"1,18,399"
181,Maruti Swift VDI,Delhi,2014,"81,137",Diesel,2nd,"3,74,199"
182,Maruti Swift VDI ABS,Delhi,2015,"86,417",Diesel,1st,"4,26,799"
183,Honda Brio 1.2 S MT I VTEC,Delhi,2011,"1,12,222",Petrol,1st,"2,27,399"
184,Maruti Swift VDI ABS,Delhi,2015,"86,072",Diesel,1st,"4,18,899"
185,Maruti Dzire VDI AMT,Delhi,2017,"47,036",Diesel,1st,"6,15,799"
186,Maruti Swift Dzire VDI BS IV,Delhi,2012,"86,194",Diesel,1st,"3,00,699"
187,Maruti Swift VXI,Delhi,2011,"95,427",Petrol,2nd,"2,56,499"
188,Maruti Swift VDI,Delhi,2012,"89,809",Diesel,1st,"2,84,699"
189,Maruti Swift Dzire ZDI,Delhi,2012,"86,622",Diesel,1st,"3,58,799"
190,Maruti Swift Dzire VDI BS IV,Delhi,2012,"90,249",Diesel,1st,"3,10,299"
191,Maruti Swift VXI,Delhi,2017,"58,074",Petrol,1st,"5,02,299"
192,Maruti Swift VDI,Delhi,2013,"78,620",Diesel,2nd,"3,55,599"
193,Maruti Ritz VXI,Delhi,2009,"1,19,824",Petrol,1st,"1,89,699"
194,Toyota Innova Crysta 2.4 VX 7 STR,Delhi,2017,"62,375",Diesel,1st,"16,24,999"
195,Maruti Swift VDI,Delhi,2013,"86,036",Diesel,1st,"3,30,399"
196,Maruti Alto K10 VXI,Delhi,2017,"58,529",Petrol,1st,"2,86,099"
197,Maruti Swift VXI,Delhi,2011,"78,545",Petrol,1st,"3,38,799"
198,Maruti Wagon R Stingray VXI,Delhi,2014,"84,706",Petrol,2nd,"3,04,699"
199,Maruti Vitara Brezza VDI,Delhi,2016,"70,187",Diesel,1st,"6,26,799"
200,Renault Duster 85 PS RXE,Delhi,2016,"66,041",Diesel,2nd,"5,69,099"
201,Toyota Etios Liva GD,Delhi,2012,"94,952",Diesel,1st,"2,59,299"
202,Maruti Swift VDI,Delhi,2013,"82,591",Diesel,1st,"3,31,999"
203,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Delhi,2013,"85,110",Petrol,1st,"3,38,599"
204,Maruti Swift Dzire VDI BS IV,Delhi,2014,"92,793",Diesel,1st,"3,88,599"
205,Maruti Alto K10 LXI,Delhi,2014,"79,502",Petrol,1st,"2,32,399"
206,Maruti Swift Dzire VDI BS IV,Delhi,2012,"97,973",Diesel,1st,"3,41,399"
207,Maruti S Cross ALPHA SHVS,Delhi,2017,"86,066",Diesel,1st,"8,33,299"
208,Honda City VX MT DIESEL,Delhi,2014,"75,551",Diesel,1st,"5,45,199"
209,Maruti Swift Dzire VDI BS IV,Delhi,2012,"92,072",Diesel,1st,"3,06,399"
210,Maruti Swift VDI,Delhi,2013,"87,567",Diesel,1st,"3,37,699"
211,Toyota Etios Liva GD SP,Delhi,2012,"94,755",Diesel,1st,"2,71,999"
212,Maruti Swift Dzire VDI BS IV,Delhi,2012,"95,472",Diesel,1st,"2,82,999"
213,Toyota Corolla Altis 1.8 G,Delhi,2011,"95,015",Petrol,2nd,"4,28,799"
214,Maruti Swift ZDI,Delhi,2014,"72,636",Diesel,1st,"4,42,199"
215,Maruti Swift ZDI,Delhi,2012,"96,637",Diesel,2nd,"2,85,199"
216,Hyundai Verna FLUIDIC 1.6 SX CRDI OPT,Delhi,2012,"95,741",Diesel,1st,"3,99,699"
217,Maruti Swift Dzire VDI BS IV,Delhi,2013,"83,315",Diesel,1st,"3,65,199"
218,Toyota Etios G,Delhi,2012,"1,19,615",Petrol,1st,"2,98,199"
