,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
229,Maruti Swift Dzire VDI BS IV,Chandigarh,2013,"64,867",Diesel,1st,"3,39,999"
230,Toyota Innova 2.5 GX 7 STR BS IV,Chandigarh,2013,"46,674",Diesel,1st,"6,04,799"
231,Maruti Swift Dzire VXI,Chandigarh,2008,"89,412",Petrol,2nd,"1,77,899"
232,Maruti Swift Dzire ZDI,Chandigarh,2013,"67,598",Diesel,2nd,"3,97,399"
233,Maruti Ritz VXI,Chandigarh,2009,"62,936",Petrol,1st,"2,39,799"
234,Maruti Swift VDI,Chandigarh,2013,"68,546",Diesel,1st,"3,51,899"
235,Toyota Etios Liva GD,Chandigarh,2013,"67,401",Diesel,1st,"3,02,099"
236,Maruti Swift VDI,Chandigarh,2012,"76,353",Diesel,1st,"3,08,299"
237,Maruti Swift VDI,Chandigarh,2013,"67,011",Diesel,1st,"3,45,399"
238,Maruti Alto 800 LXI,Chandigarh,2015,"50,024",Petrol,1st,"2,69,199"
239,Maruti Swift LXI,Chandigarh,2012,"67,752",Petrol,2nd,"3,11,899"
240,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Chandigarh,2016,"73,912",Petrol,1st,"3,94,899"
241,Maruti Swift Dzire VDI BS IV,Chandigarh,2013,"62,602",Diesel,1st,"3,46,199"
242,Maruti Swift VDI,Chandigarh,2013,"66,350",Diesel,1st,"3,11,399"
243,Maruti Zen Estilo LXI,Chandigarh,2010,"66,275",Petrol,2nd,"1,85,199"
244,Hyundai i10 SPORTZ 1.2 KAPPA2,Chandigarh,2011,"53,077",Petrol,1st,"2,66,099"
245,Maruti Vitara Brezza ZXI AT SHVS,Chandigarh,2020,"20,024",Petrol,1st,"10,77,699"
246,Maruti Ritz VXI BS IV,Chandigarh,2011,"59,945",Petrol,3rd,"2,67,499"
247,Maruti Swift VDI,Chandigarh,2012,"1,15,605",Diesel,1st,"2,85,999"
248,Renault Duster 85 PS RXL OPT,Chandigarh,2013,"93,113",Diesel,1st,"4,15,799"
249,Maruti Swift Dzire VDI BS IV,Chandigarh,2012,"75,004",Diesel,1st,"2,90,099"
250,Maruti Swift VDI,Chandigarh,2014,"71,382",Diesel,1st,"3,52,599"
251,Maruti Swift VDI,Chandigarh,2014,"72,597",Diesel,1st,"3,60,899"
252,Maruti Swift VDI,Chandigarh,2014,"70,681",Diesel,2nd,"3,45,399"
253,Maruti A Star VXI,Chandigarh,2009,"81,050",Petrol,2nd,"1,69,599"
